Year,Month,Unit_ID,Unit_Value,Unit_Debt,Unit_Equity,Unit_LTV,Unit_Monthly_Payment,Unit_Interest_Rate,Is_Feeder,Months_Since_Last_Refi
5,12,0,831133.44,607443.09,223690.35,73.09,4260.05,6.85,True,9
6,12,0,856413.16,547629.2,308783.96,63.94,4260.05,6.85,True,21
7,12,0,882461.79,481333.7,401128.09,54.54,4260.05,6.85,True,33
8,12,0,909302.71,643250.33,266052.38,70.74,3994.06,5.88,True,3
9,12,0,936960.02,555502.3,381457.72,59.29,3994.06,5.88,True,15
10,12,0,965458.56,436512.38,528946.18,45.21,3994.06,5.88,True,27
11,12,1,1007632.61,515474.4,492158.21,51.16,4492.48,6.85,True,39
12,12,0,1025082.42,642195.54,382886.88,62.65,4369.71,5.88,True,15
13,12,0,1056261.28,462084.91,594176.37,43.75,4369.71,5.88,True,27
14,12,1,1102401.87,703690.72,398711.15,63.83,4526.56,5.88,True,30
15,12,3,1187650.67,759797.76,427852.91,63.97,5255.56,6.85,True,42
16,12,3,1223774.2,261337.31,962436.89,21.36,5255.56,6.85,True,54
17,12,0,1190752.94,410334.15,780418.79,34.46,4780.69,5.88,True,39
18,12,4,1313756.34,442526.2,871230.14,33.68,5684.42,6.85,True,51
19,12,2,1316634.14,402280.77,914353.37,30.55,5003.54,5.88,True,61
20,12,5,1387941.67,198649.68,1189291.99,14.31,5684.42,6.85,True,73
21,12,1,1359652.64,758650.96,601001.68,55.8,5027.03,5.88,True,72
